	experiment	experiment_id	condition	condition_id	item_id	text	question	response_true	response_distractors
11	provo	2	real	1	11	"Known as Rapa Nui to the island's inhabitants, Rongorongo is a writing system comprised of pictographs. It has been found carved into many oblong wooden tablets and other artifacts from the island's history. The art of writing was not known in any nearby islands and the script's mere existence is sufficient to confound anthropologists. "	Is Rongorongo a musical script? 	No	Yes
12	provo	2	real	1	12	"Some months later, Michael Larson saw another opportunity to stack the odds in his favor with a dash of ingenuity. He walked into his bank one day and asked to withdraw his entire account balance, but with an unusual stipulation: He wanted as much of the cash as possible in one dollar notes. "	Did Mr. Larson withdraw his account in one dollar notes?	Yes	No
13	provo	2	real	1	13	"Bob Murphy, the Senior PGA Tour money leader with seven hundred thousand, says heat shouldn't be a factor. ""I don't think you're going to have a heat wave I'm not going to be able to handle,"" he said. ""Everybody treats it differently. My son Ronnie, his caddie, and I won't be riding carts."	Does Bob Murphy play golf?	Yes	No
14	provo	2	real	1	14	"With schools still closed, cars still buried and streets still blocked by the widespread weekend snowstorm, officials are asking people to pick up a shovel and help out. In Boston, a ""snow angel"" campaign is using social media to encourage neighbors and friends to be an angel and help dig out the stranded."	Is this passage about the effects of a snowstorm?	Yes	No
15	provo	2	real	1	15	"Greg Anderson, considered a key witness by the prosecution, vowed he wouldn't testify when served a subpoena last week. His lawyers said he was prepared for a third prison stay to maintain his silence. Anderson was released July 20 after a two-week stay for previously declining to testify before a different grand jury."	Did Greg Anderson resist testifying?	Yes	No
16	provo	2	real	1	16	"Steam sterilization is limited in the types of medical waste it can treat, but is appropriate for laboratory cultures and substances contaminated with infectious organisms. The waste is subjected to steam in a sealed, pressurized chamber. The liquid that may form is drained off to the sewer or sent for processing. "	Is this passage about alcohol sterilization?	No	Yes
17	provo	2	real	1	17	"Owls are more flexible than humans because a bird's head is only connected by one socket pivot. People have two, which limits our ability to twist, Forsman added. Owls also have multiple vertebrae, the small bones that make up the neck and spine, helping them achieve a wide range of motion. "	Are owls more flexible than humans? 	Yes	No
18	provo	2	real	1	18	"Even in the same animal, not all bites are the same. A new study finds that because the force in a muscle depends on how much it is stretched, an animal's bite force depends on the size of what it is biting. The finding has direct implications for ecology and evolution."	Does the study find that all bites from the same animal are the same?	No	Yes
19	provo	2	real	1	19	"Interestingly, the heaviest isotopes physicists have managed to synthesize so far don't behave quite like science's best current models predict, so stable superheavy nuclei are likely to be full of surprises. Chemists cannot even predict with any certainty whether these materials will exist as gases, liquids, or solids at room temperature."	Are the heavy isotopes easy to predict by Chemists?	No	Yes
20	provo	2	real	1	20	"Buck did not like it, but he bore up well to the work, taking pride in it. It was a monotonous life, operating with machine-like regularity. One day was very like another. At a certain time each morning the cooks turned out, fires were built, and breakfast was eaten. "	Did Buck enjoy his monotonous life? 	No	Yes
21	provo	2	real	1	21	"These days, neuroscience is beginning to catch up to musicians who practice mentally. Although the details are still somewhat elusive, the key to the success of mental imagery as a rehearsal technique is that most of the same neurological regions are invoked by mental practice as by real practice. "	Are most of the same neurological regions invoked by mental practice as by real practice? 	Yes	No
22	provo	2	real	1	22	"Not only smoke came out of it. There came also children's voices, for so safe did the boys feel in their hiding-place that they were gaily chattering. The pirates listened grimly, and then replaced the mushroom. They looked around them and noted the holes in the seven trees. "	Did the pirates hear the children's voices? 	Yes	No
23	provo	2	real	1	23	"When a nucleus has all of its proton shells or neutron shells loaded to full capacity, the layers can align so well that each shell can spoon intimately with its attractive neighbors, forming a more compact sphere that fits well within the strong nuclear force's area of influence. "	Is the passage about astronomy?	No	Yes
24	provo	2	real	1	24	Hybrid vehicles have a halo that makes owners feel righteous and their neighbors feel guilty for not doing as much to save the planet. They also cost more and a new report from the very green Union of Concerned Scientists says buyers aren't always getting their money's worth.	Are hybrid vehicles always less expensive than conventional ones?	No	Yes
25	provo	2	real	1	25	"The girl's feet were then re-wrapped even tighter than before, causing her footprint to shrink further as the bones slowly fused into their new configuration. Occasionally girls' feet would fester, and blood poisoning from gangrene could be a cause for concern, but an estimated 90% survived the process."	Does the process of foot binding fuse the bones?	Yes	No
26	provo	2	real	1	26	"An early task will be to make sure the newfound microbes were not introduced while drilling through the ice into the lake, which involved a hot-water drilling technique designed to greatly reduce or eliminate any contamination that might come from other kerosene-based drilling technology, Christner said. "	Were the scientists drilling in the ocean?	No	Yes
27	provo	2	real	1	27	"Very similar, but even more striking, is the evidence from athletic training. As with rehearsing a piece on the piano, practicing a complex physical task in the mind alone is nearly as effective a learning strategy as actually physically doing it. But it doesn’t stop there. "	Is practicing a complex physical task in the mind an effective rehearsal strategy? 	Yes	No
28	provo	2	real	1	28	"A bill was drafted and introduced into Parliament several times but met with great opposition, mostly from farmers. Eventually, in 1925, it was decided that summer time should begin on the day following the third Saturday in April and close after the first Saturday in October."	Was the bill about driving regulations?	No	Yes
29	provo	2	real	1	29	"When early Europeans discovered Easter Island, its somewhat isolated ecosystem was suffering from the effects of limited natural resources, deforestation, and overpopulation. Over the following years the island's population of four thousand or so was slowly eroded by Western disease and deportation by slave traders. "	Was the island’s population killed in a big storm?	No	Yes
30	provo	2	real	1	30	"Binge drinking may not necessarily kill or even damage brain cells, as commonly thought, a new animal study suggests. But it can block key receptors in the brain and trigger production of a steroid that interferes with brain functions critical to learning and memory. "	Can Binge Drinking block neuronal receptors?	Yes	No
31	provo	2	real	1	31	"When preparing to check out of their hotel room, some frequent travelers pile up their used bath towels on the bathroom floor, which would make them easy for housekeepers to spot. Other travelers neatly fold them, or hang them from the shower curtain pole."	Do some people fold their towels when staying in hotels?	Yes	No
32	provo	2	real	1	32	"In no celestial hurry, Neptune has just completed its first orbit around the sun since being discovered 165 years ago by Earthlings. As Space.com notes, the big blue-green gas bag is the only planet in our solar system to be discovered by mathematics."	Has Neptune completed its first orbit around the sun since being discovered by Earthlings? 	Yes	No
33	provo	2	real	1	33	"When attacked, a skunk's natural inclination is to turn around, lick its tail and spray a noxious scent. That works when a skunk faces a natural predator in the wild, but it's not as helpful when faced with, let's say, an oncoming car."	Is this passage about porcupine scent?	No	Yes
34	provo	2	real	1	34	"Lady Gaga's YouTube account was suspended Thursday. The notice read that the suspension was due to ""multiple or severe violations of YouTube's copyright policy."" The Google Inc.-owned YouTube declined to comment. It's YouTube policy to remove accounts after three copyright violations. "	Was Lady Gaga's YouTube account suspended? 	Yes	No
35	provo	2	real	1	35	"The astronauts used a hefty robotic arm to move the bus-size canister, stuffed with nearly three tons of packing foam and other space station refuse. It was the last job shared by the shuttle and station crews, numbering ten astronauts altogether."	Was the canister stuffed with food supplies?	No	Yes
36	provo	2	real	1	36	"Rich investors with no ties to farming, no dirt under their nails, are confident enough to wager big on a patch of earth betting that it's a smart investment because food will only get more expensive around the world."	Are rich investors investing in farming? 	Yes	No
37	provo	2	practice	2	37	John Thornton asked little of man or nature. He was unafraid of the wild. With a handful of salt and a rifle he could plunge into the wilderness and fare wherever he pleased and as long as he pleased. 	Was John Thornton afraid of the wild? 	No	Yes
38	provo	2	real	1	38	"All that the brain has to work with are imperfect incoming electrical impulses announcing that things are happening. It is then the job of neurons to rapidly interpret these signals as well as they can, and suggest how to react."	Do neurons rapidly interpret electrical signals? 	Yes	No
39	provo	2	real	1	39	"That's because when immigrants from a particular cultural group move into a new one, they bring genetic diversity that, if the immigrants have children, get mixed around, changing the new population's gene pool. But the new population's culture doesn't necessarily change. "	Is this passage about immigration law?	No	Yes
40	provo	2	real	1	40	"Police in Georgia have shut down a lemonade stand run by three girls trying to save up for a trip to a water park, saying they didn't have a business license or the required permits. Morningstar says police also didn't know how the lemonade was made."	Did the police shut down a cookie stand?	No	Yes
41	provo	2	real	1	41	Research showing that a tiny European river bug called the water boatman may be the loudest animal on earth for its size has some interesting sidebars. The insect is just two millimeters long and yet produces an underwater call that has been measured at 99.2 decibels.	Does the water boatman live in Europe?	Yes	No
42	provo	2	real	1	42	"There often seems to be more diving in soccer than in the Summer Olympics. Phantom contact, or the slightest collision, can lead to theatrical belly flops and exaggerated somersaults by players deceptively trying to draw fouls on their opponents, kill time or catch a breather when tired."	Can players in soccer be deceptive by exaggerating their falls?	Yes	No
43	provo	2	real	1	43	"Proper ventilation will make a backdraft less likely. Opening a room or building at the highest point allows heated gases and smoke to be released gradually. However, suddenly breaking a window or opening a door is a mistake, because it allows oxygen to rush in, causing an explosion."	Can opening a door cause an explosion?	Yes	No
44	provo	2	real	1	44	"The first step to be taken in studying the history of our country is to form some clear and proper conception of the characteristics and condition of the territory which is now occupied by the American people, as it existed when first discovered and explored by Europeans. "	Is this passage about the history of China?	No	Yes
45	provo	2	real	1	45	Susan B. Anthony spent nearly sixty years of her life devoted to the cause of social justice and equality for all. Her major contributions were focused on women's rights. Her primary achievement lay in her inspiration and influence of thousands of people promoting the right of women to vote.	Did Susan B. Anthony devote her life to the cause of social justice? 	Yes	No
46	provo	2	real	1	46	"As Earth warms due to the human-caused release of heat-trapping gases into the atmosphere, frozen Arctic soils also warm, thaw and release more carbon dioxide. The added carbon dioxide accelerates Earth's warming, which further accelerates the thawing of Arctic soils and the release of even more carbon dioxide. "	Will frozen Arctic soil release more carbon dioxide?	Yes	No
47	provo	2	real	1	47	"Unfortunately, for every six water bottles we use, only one makes it to the recycling bin. The rest are sent to landfills or, even worse, they end up as trash on the land and in rivers, lakes, and the ocean. Plastic bottles take many hundreds of years to disintegrate. "	Do only one out of six water bottles get recycled in general? 	Yes	No
48	provo	2	real	1	48	"As in the United States, Colombian legislation requires travelers entering the country to declare cash in excess of ten thousand dollars. Concealing more than that amount to transport it into or out of the country is a crime punishable by up to five years in prison in the United States."	Is this passage about US-Brazil relations?	No	Yes
49	provo	2	real	1	49	"For centuries, time was measured by the position of the sun with the use of sundials. Noon was recognized when the sun was the highest in the sky, and cities would set their clock by this apparent solar time, even though some cities would often be on a slightly different time. "	"In the past, was time measured by the position of the sun using sundials? "	Yes	No
50	provo	2	real	1	50	"When the new world was first discovered it was found to be, like the old, well stocked with plants and animals, and inhabited by a great many tribes and nations of men; and yet the plants and animals, if not the men, were all essentially different from those known in the old world. "	Were the plants and animals the same as in the old world?	No	Yes
51	provo	2	real	1	51	"American industry may not know it, but debate in Congress over reforming the federal government's regulatory apparatus may profoundly improve companies' ability to survive. This week the Senate seems poised to join the House in a massive overhaul of the way in which bureaucrats enact regulations that are strangling the life out of companies."	"Will the new regulations affect American industry, according to the passage?"	Yes	No
52	provo	2	real	1	52	"Stress is a risk factor for both depression and anxiety, he says. ""We don't have data on the specific causes of depression and anxiety in this sample, but it does make sense scientifically that the Millennials who report higher levels of stress in their lives are also reporting higher levels of depression and anxiety. "	Is stress a risk factor for both depression and anxiety? 	Yes	No
53	provo	2	real	1	53	"When it comes to having a lasting and fulfilling relationship, common wisdom says that feeling close to your romantic partner is paramount. But a new study finds that it's not how close you feel that matters most, it's whether you are as close as you want to be, even if that's really not close at all."	Was the study about nutrition?	No	Yes
54	provo	2	real	1	54	"At the time the French crown secured much of its revenue by issuing government bonds. In 1727, in order to save money, the state cut the bonds interest rate. The market value of these bonds plummeted, and the market became wary of French credit. The French state was left without an easy way of raising money."	Did the French state cut the bonds' interest rate in 1727?	Yes	No
55	provo	2	real	1	55	"Voltaire himself probably won around half a million livres, a large fortune, which he then made even larger in a series of canny investments. Soon Voltaire was a very rich man, rich enough to become a moneylender to the powerful and famous, rich enough that he no longer had to stake his financial well-being on that most unreliable and detestable profession, writing."	Did Voltaire become a very rich man?	Yes	No
