"","Text_ID","text_cased","text_uncased"
"21",21,"These days, neuroscience is beginning to catch up to musicians who practice mentally. Although the details are still somewhat elusive, the key to the success of mental imagery as a rehearsal technique is that most of the same neurological regions are invoked by mental practice as by real practice.","these days neuroscience is beginning to catch up to musicians who practice mentally although the details are still somewhat elusive the key to the success of mental imagery as a rehearsal technique is that most of the same neurological regions are invoked by mental practice as by real practice"
"22",22,"Not only smoke came out of it. There came also children's voices, for so safe did the boys feel in their hiding-place that they were gaily chattering. The pirates listened grimly, and then replaced the mushroom. They looked around them and noted the holes in the seven trees.","not only smoke came out of it there came also children's voices for so safe did the boys feel in their hiding-place that they were gaily chattering the pirates listened grimly and then replaced the mushroom they looked around them and noted the holes in the seven trees"
"23",23,"When a nucleus has all of its proton shells or neutron shells loaded to full capacity, the layers can align so well that each shell can spoon intimately with its attractive neighbors, forming a more compact sphere that fits well within the strong nuclear force's area of influence.","when a nucleus has all of its proton shells or neutron shells loaded to full capacity the layers can align so well that each shell can spoon intimately with its attractive neighbors forming a more compact sphere that fits well within the strong nuclear force's area of influence"
"24",24,"Hybrid vehicles have a halo that makes owners feel righteous and their neighbors feel guilty for not doing as much to save the planet. They also cost more and a new report from the very green Union of Concerned Scientists says buyers aren't always getting their money's worth","hybrid vehicles have a halo that makes owners feel righteous and their neighbors feel guilty for not doing as much to save the planet they also cost more and a new report from the very green union of concerned scientists says buyers aren't always getting their money's worth"
"25",25,"The girl's feet were then re-wrapped even tighter than before, causing her footprint to shrink further as the bones slowly fused into their new configuration. Occasionally girls' feet would fester, and blood poisoning from gangrene could be a cause for concern, but an estimated 0.9 survived the process","The girl's feet were then re-wrapped even tighter than before causing her footprint to shrink further as the bones slowly fused into their new configuration occasionally girls' feet would fester and blood poisoning from gangrene could be a cause for concern but an estimated 0.9 survived the process"
"26",26,"An early task will be to make sure the newfound microbes were not introduced while drilling through the ice into the lake, which involved a hot-water drilling technique designed to greatly reduce or eliminate any contamination that might come from other kerosene-based drilling technology, Christner said.","An early task will be to make sure the newfound microbes were not introduced while drilling through the ice into the lake which involved a hot-water drilling technique designed to greatly reduce or eliminate any contamination that might come from other kerosene-based drilling technology christner said"
"27",27,"Very similar, but even more striking, is the evidence from athletic training. As with rehearsing a piece on the piano, practicing a complex physical task in the mind alone is nearly as effective a learning strategy as actually physically doing it. But it doesn't stop there.","very similar but even more striking is the evidence from athletic training as with rehearsing a piece on the piano practicing a complex physical task in the mind alone is nearly as effective a learning strategy as actually physically doing it but it doesn't stop there"
"28",28,"A bill was drafted and introduced into Parliament several times but met with great opposition, mostly from farmers. Eventually, in 1925, it was decided that summer time should begin on the day following the third Saturday in April and close after the first Saturday in October","A bill was drafted and introduced into parliament several times but met with great opposition mostly from farmers eventually in 1925 it was decided that summer time should begin on the day following the third saturday in april and close after the first saturday in october"
"29",29,"When early Europeans discovered Easter Island, its somewhat isolated ecosystem was suffering from the effects of limited natural resources, deforestation, and overpopulation. Over the following years the island's population of four thousand or so was slowly eroded by Western disease and deportation by slave traders.","when early europeans discovered easter island its somewhat isolated ecosystem was suffering from the effects of limited natural resources deforestation and overpopulation over the following years the island's population of four thousand or so was slowly eroded by western disease and deportation by slave traders"
"30",30,"Binge drinking may not necessarily kill or even damage brain cells, as commonly thought, a new animal study suggests. But it can block key receptors in the brain and trigger production of a steroid that interferes with brain functions critical to learning and memory.","binge drinking may not necessarily kill or even damage brain cells as commonly thought a new animal study suggests but it can block key receptors in the brain and trigger production of a steroid that interferes with brain functions critical to learning and memory"
"31",31,"When preparing to check out of their hotel room, some frequent travelers pile up their used bath towels on the bathroom floor, which would make them easy for housekeepers to spot. Other travelers neatly fold them, or hang them from the shower curtain pole","when preparing to check out of their hotel room some frequent travelers pile up their used bath towels on the bathroom floor which would make them easy for housekeepers to spot other travelers neatly fold them or hang them from the shower curtain pole"
"32",32,"In no celestial hurry, Neptune has just completed its first orbit around the sun since being discovered 165 years ago by Earthlings. As Space.com notes, the big blue-green gas bag is the only planet in our solar system to be discovered by mathematics","In no celestial hurry neptune has just completed its first orbit around the sun since being discovered 165 years ago by earthlings as spacecom notes the big blue-green gas bag is the only planet in our solar system to be discovered by mathematics"
"33",33,"When attacked, a skunk's natural inclination is to turn around, lick its tail and spray a noxious scent. That works when a skunk faces a natural predator in the wild, but it's not as helpful when faced with, let's say, an oncoming car","when attacked a skunk's natural inclination is to turn around lick its tail and spray a noxious scent that works when a skunk faces a natural predator in the wild but it's not as helpful when faced with let's say an oncoming car"
"34",34,"Lady Gaga's YouTube account was suspended Thursday. The notice read that the suspension was due to ""multiple or severe violations of YouTube's copyright policy."" The Google Inc.-owned YouTube declined to comment. It's YouTube policy to remove accounts after three copyright violations.","lady gaga's youtube account was suspended thursday the notice read that the suspension was due to multiple or severe violations of youtube's copyright policy the google inc-owned youtube declined to comment it's youtube policy to remove accounts after three copyright violations"
"35",35,"The astronauts used a hefty robotic arm to move the bus-size canister, stuffed with nearly three tons of packing foam and other space station refuse. It was the last job shared by the shuttle and station crews, numbering ten astronauts altogether","The astronauts used a hefty robotic arm to move the bus-size canister stuffed with nearly three tons of packing foam and other space station refuse it was the last job shared by the shuttle and station crews numbering ten astronauts altogether"
"36",36,"Rich investors with no ties to farming, no dirt under their nails, are confident enough to wager big on a patch of earth betting that it's a smart investment because food will only get more expensive around the world","Rich investors with no ties to farming no dirt under their nails are confident enough to wager big on a patch of earth betting that it's a smart investment because food will only get more expensive around the world"
"37",37,"John Thornton asked little of man or nature. He was unafraid of the wild. With a handful of salt and a rifle he could plunge into the wilderness and fare wherever he pleased and as long as he pleased.","john thornton asked little of man or nature he was unafraid of the wild with a handful of salt and a rifle he could plunge into the wilderness and fare wherever he pleased and as long as he pleased"
"38",38,"All that the brain has to work with are imperfect incoming electrical impulses announcing that things are happening. It is then the job of neurons to rapidly interpret these signals as well as they can, and suggest how to react","All that the brain has to work with are imperfect incoming electrical impulses announcing that things are happening it is then the job of neurons to rapidly interpret these signals as well as they can and suggest how to react"
"39",39,"That's because when immigrants from a particular cultural group move into a new one, they bring genetic diversity that, if the immigrants have children, get mixed around, changing the new population's gene pool. But the new population's culture doesn't necessarily change.","that's because when immigrants from a particular cultural group move into a new one they bring genetic diversity that if the immigrants have children get mixed around changing the new population's gene pool but the new population's culture doesn't necessarily change"
"40",40,"Police in Georgia have shut down a lemonade stand run by three girls trying to save up for a trip to a water park, saying they didn't have a business license or the required permits. Morningstar says police also didn't know how the lemonade was made","police in georgia have shut down a lemonade stand run by three girls trying to save up for a trip to a water park saying they didn't have a business license or the required permits morningstar says police also didn't know how the lemonade was made"
"41",41,"Research showing that a tiny European river bug called the water boatman may be the loudest animal on earth for its size has some interesting sidebars. The insect is just two millimeters long and yet produces an underwater call that has been measured at 99.2 decibels","Research showing that a tiny european river bug called the water boatman may be the loudest animal on earth for its size has some interesting sidebars the insect is just two millimeters long and yet produces an underwater call that has been measured at 99.2 decibels"
"42",42,"There often seems to be more diving in soccer than in the Summer Olympics. Phantom contact, or the slightest collision, can lead to theatrical belly flops and exaggerated somersaults by players deceptively trying to draw fouls on their opponents, kill time or catch a breather when tired","there often seems to be more diving in soccer than in the summer olympics phantom contact or the slightest collision can lead to theatrical belly flops and exaggerated somersaults by players deceptively trying to draw fouls on their opponents kill time or catch a breather when tired"
"43",43,"Proper ventilation will make a backdraft less likely. Opening a room or building at the highest point allows heated gases and smoke to be released gradually. However, suddenly breaking a window or opening a door is a mistake, because it allows oxygen to rush in, causing an explosion","proper ventilation will make a backdraft less likely opening a room or building at the highest point allows heated gases and smoke to be released gradually however suddenly breaking a window or opening a door is a mistake because it allows oxygen to rush in causing an explosion"
"44",44,"The first step to be taken in studying the history of our country is to form some clear and proper conception of the characteristics and condition of the territory which is now occupied by the American people, as it existed when first discovered and explored by Europeans.","the first step to be taken in studying the history of our country is to form some clear and proper conception of the characteristics and condition of the territory which is now occupied by the american people as it existed when first discovered and explored by europeans"
"45",45,"Susan B. Anthony spent nearly sixty years of her life devoted to the cause of social justice and equality for all. Her major contributions were focused on women’s rights. Her primary achievement lay in her inspiration and influence of thousands of people promoting the right of women to vote","susan b anthony spent nearly sixty years of her life devoted to the cause of social justice and equality for all her major contributions were focused on women’s rights her primary achievement lay in her inspiration and influence of thousands of people promoting the right of women to vote"
"46",46,"As Earth warms due to the human-caused release of heat-trapping gases into the atmosphere, frozen Arctic soils also warm, thaw and release more carbon dioxide. The added carbon dioxide accelerates Earth's warming, which further accelerates the thawing of Arctic soils and the release of even more carbon dioxide.","as earth warms due to the human-caused release of heat-trapping gases into the atmosphere frozen arctic soils also warm thaw and release more carbon dioxide the added carbon dioxide accelerates earth's warming which further accelerates the thawing of arctic soils and the release of even more carbon dioxide"
"47",47,"Unfortunately, for every six water bottles we use, only one makes it to the recycling bin. The rest are sent to landfills or, even worse, they end up as trash on the land and in rivers, lakes, and the ocean. Plastic bottles take many hundreds of years to disintegrate.","unfortunately for every six water bottles we use only one makes it to the recycling bin the rest are sent to landfills or even worse they end up as trash on the land and in rivers lakes and the ocean plastic bottles take many hundreds of years to disintegrate"
"48",48,"As in the United States, Colombian legislation requires travelers entering the country to declare cash in excess of ten thousand dollars. Concealing more than that amount to transport it into or out of the country is a crime punishable by up to five years in prison in the United States","As in the united states colombian legislation requires travelers entering the country to declare cash in excess of ten thousand dollars concealing more than that amount to transport it into or out of the country is a crime punishable by up to five years in prison in the united states"
"49",49,"For centuries, time was measured by the position of the sun with the use of sundials. Noon was recognized when the sun was the highest in the sky, and cities would set their clock by this apparent solar time, even though some cities would often be on a slightly different time.","for centuries time was measured by the position of the sun with the use of sundials noon was recognized when the sun was the highest in the sky and cities would set their clock by this apparent solar time even though some cities would often be on a slightly different time"
"50",50,"When the new world was first discovered it was found to be, like the old, well stocked with plants and animals, and inhabited by a great many tribes and nations of men; and yet the plants and animals, if not the men, were all essentially different from those known in the old world.","when the new world was first discovered it was found to be like the old well stocked with plants and animals and inhabited by a great many tribes and nations of men and yet the plants and animals if not the men were all essentially different from those known in the old world"
"51",51,"American industry may not know it, but debate in Congress over reforming the federal government's regulatory apparatus may profoundly improve companies' ability to survive. This week the Senate seems poised to join the House in a massive overhaul of the way in which bureaucrats enact regulations that are strangling the life out of companies","american industry may not know it but debate in congress over reforming the federal government's regulatory apparatus may profoundly improve companies' ability to survive this week the senate seems poised to join the house in a massive overhaul of the way in which bureaucrats enact regulations that are strangling the life out of companies"
"52",52,"Stress is a risk factor for both depression and anxiety, he says. ""We don't have data on the specific causes of depression and anxiety in this sample, but it does make sense scientifically that the Millennials who report higher levels of stress in their lives are also reporting higher levels of depression and anxiety.","stress is a risk factor for both depression and anxiety he says we don't have data on the specific causes of depression and anxiety in this sample but it does make sense scientifically that the millennials who report higher levels of stress in their lives are also reporting higher levels of depression and anxiety"
"53",53,"When it comes to having a lasting and fulfilling relationship, common wisdom says that feeling close to your romantic partner is paramount. But a new study finds that it's not how close you feel that matters most, it's whether you are as close as you want to be, even if that's really not close at all","when it comes to having a lasting and fulfilling relationship common wisdom says that feeling close to your romantic partner is paramount but a new study finds that it's not how close you feel that matters most it's whether you are as close as you want to be even if that's really not close at all"
"54",54,"At the time the French crown secured much of its revenue by issuing government bonds. In 1727, in order to save money, the state cut the bonds’ interest rate. The market value of these bonds plummeted, and the market became wary of French credit. The French state was left without an easy way of raising money","at the time the french crown secured much of its revenue by issuing government bonds in 1727 in order to save money the state cut the bonds’ interest rate the market value of these bonds plummeted and the market became wary of french credit the french state was left without an easy way of raising money"
"55",55,"Voltaire himself probably won around half a million livres, a large fortune, which he then made even larger in a series of canny investments. Soon Voltaire was a very rich man, rich enough to become a moneylender to the powerful and famous, rich enough that he no longer had to stake his financial well-being on that most unreliable and detestable NA","voltaire himself probably won around half a million livres a large fortune which he then made even larger in a series of canny investments soon voltaire was a very rich man rich enough to become a moneylender to the powerful and famous rich enough that he no longer had to stake his financial well-being on that most unreliable and detestable NA"
